,gray,violet,blue,green,yellow,orange,red,brown,target
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04,
530,27872,0,69539,0,0,49821,0,79904,1
531,17014,0,76390,0,0,42935,0,90797,0
532,25648,0,66228,0,0,41778,0,93482,1
533,6363,0,57334,0,0,57817,0,105622,1
534,8837,0,48738,0,0,58218,0,111343,1
535,18406,0,74966,0,0,38156,0,95608,1
536,47154,0,53060,0,0,37045,0,89877,0
537,21886,0,56779,0,0,37529,0,110942,1
538,20506,0,80839,0,0,38091,0,87700,0
539,22070,0,76308,0,0,45563,0,83195,0
540,10668,0,75038,0,0,54322,0,87108,1
541,6013,0,71635,0,0,42807,0,106681,1
542,10552,0,51664,0,0,37263,0,127657,1
543,26811,0,75239,0,0,34720,0,90366,0
544,16192,0,73663,0,0,49629,0,87652,1
545,32641,0,59751,0,0,42977,0,91767,0
546,36037,0,56142,0,0,38448,0,96509,1
547,23381,0,70173,0,0,38163,0,95419,1
548,10392,0,52072,0,0,64347,0,100325,1
549,11926,0,67206,0,0,62896,0,85108,1
550,14925,0,75073,0,0,49062,0,88076,1
